season,mechanism,alpha,n_sims,n_finalists,top_judge_final,champion_mode,champion_mode_prob,champion_entropy,tpi_mean,fan_influence_rate,robust_fail_rate,outlier_mult
22,dynamic_weight,0.5,50,3,Paige VanZant,Ginger Zee,0.42,1.2468047334622776,0.4574468085106383,0.66,0.8,10.0
22,percent_cap,0.5,50,3,Paige VanZant,Ginger Zee,0.38,1.1467124212460098,0.5,0.62,0.8,10.0
23,percent,0.5,50,4,Laurie Hernandez,Laurie Hernandez,0.32,1.2226119448555584,0.64,0.68,0.98,10.0
23,rank,0.5,50,4,Laurie Hernandez,Laurie Hernandez,0.56,0.8199696830860377,0.84,0.44,0.54,10.0
23,percent_judge_save,0.5,50,4,Laurie Hernandez,Laurie Hernandez,0.48,1.052783500981133,0.74,0.52,0.82,10.0
23,percent_sqrt,0.5,50,4,Laurie Hernandez,Calvin Johnson Jr.,0.38,1.0934927418975058,0.6466666666666667,0.68,0.98,10.0
23,percent_log,0.5,50,4,Laurie Hernandez,James Hinchcliffe,0.36,1.4072447418609482,0.6595744680851063,0.7,0.86,10.0
23,dynamic_weight,0.5,50,4,Laurie Hernandez,Laurie Hernandez,0.46,1.1869668510634876,0.763888888888889,0.54,0.96,10.0
23,percent_cap,0.5,50,4,Laurie Hernandez,Laurie Hernandez,0.4,1.1540599630783162,0.7066666666666666,0.6,0.82,10.0
24,percent,0.5,50,3,Rashad Jennings,Normani,0.48,1.2243948034259424,0.44680851063829785,0.82,0.96,10.0
24,rank,0.5,50,3,Rashad Jennings,Rashad Jennings,0.7,0.7848388534803238,0.9487179487179487,0.3,0.56,10.0
24,percent_judge_save,0.5,50,3,Rashad Jennings,Normani,0.34,1.349546809472345,0.5357142857142857,0.72,0.96,10.0
24,percent_sqrt,0.5,50,3,Rashad Jennings,Normani,0.38,1.1562247645531594,0.5612244897959183,0.64,0.84,10.0
24,percent_log,0.5,50,3,Rashad Jennings,Rashad Jennings,0.34,1.4096727069383868,0.5111111111111111,0.66,0.96,10.0
24,dynamic_weight,0.5,50,3,Rashad Jennings,Normani,0.46,1.254588079671468,0.5978260869565217,0.68,0.9,10.0
24,percent_cap,0.5,50,3,Rashad Jennings,Normani,0.4,1.3078613383401585,0.5434782608695652,0.7,0.76,10.0
25,percent,0.5,50,4,Jordan Fisher,Lindsey Stirling,0.4,1.171616972780385,0.7100000000000002,0.62,0.86,10.0
25,rank,0.5,50,4,Jordan Fisher,Lindsey Stirling,0.5,0.6931471805599453,0.8333333333333335,0.5,0.26,10.0
25,percent_judge_save,0.5,50,4,Jordan Fisher,Jordan Fisher,0.56,0.9909145596987488,0.7233333333333334,0.44,0.78,10.0
25,percent_sqrt,0.5,50,4,Jordan Fisher,Jordan Fisher,0.4,1.3506905605427593,0.6527777777777778,0.6,0.94,10.0
25,percent_log,0.5,50,4,Jordan Fisher,Jordan Fisher,0.36,1.3644613920924662,0.6920289855072462,0.64,0.82,10.0
25,dynamic_weight,0.5,50,4,Jordan Fisher,Jordan Fisher,0.44,1.0812439956611468,0.761904761904762,0.56,0.9,10.0
25,percent_cap,0.5,50,4,Jordan Fisher,Jordan Fisher,0.42,1.2275006963520365,0.6734693877551022,0.58,0.86,10.0
26,percent,0.5,50,3,Adam Rippon,Adam Rippon,0.44,1.0726624326798246,0.59,0.56,0.74,10.0
26,rank,0.5,50,3,Adam Rippon,Adam Rippon,0.9,0.3250829733914482,0.95,0.1,0.08,10.0
26,percent_judge_save,0.5,50,3,Adam Rippon,Adam Rippon,0.62,1.0944701873883038,0.7127659574468085,0.38,0.64,10.0
26,percent_sqrt,0.5,50,3,Adam Rippon,Josh Norman,0.56,1.1461086361943493,0.5957446808510638,0.72,0.76,10.0
26,percent_log,0.5,50,3,Adam Rippon,Josh Norman,0.38,1.4023707706587105,0.4777777777777778,0.76,0.8,10.0
26,dynamic_weight,0.5,50,3,Adam Rippon,Adam Rippon,0.42,1.2980099333429158,0.5957446808510638,0.58,0.76,10.0
26,percent_cap,0.5,50,3,Adam Rippon,Josh Norman,0.34,1.3225660250400302,0.4787234042553192,0.72,0.6,10.0
27,percent,0.5,50,4,Evanna Lynch,Evanna Lynch,0.38,1.4100427219234497,0.6111111111111112,0.62,0.88,10.0
27,rank,0.5,50,4,Evanna Lynch,Milo Manheim,0.44,0.9768945101654615,0.7733333333333334,0.56,0.46,10.0
27,percent_judge_save,0.5,50,4,Evanna Lynch,Alexis Ren,0.34,1.4230615684270698,0.5868055555555556,0.68,0.82,10.0
27,percent_sqrt,0.5,50,4,Evanna Lynch,Evanna Lynch,0.34,1.374926371242033,0.6394557823129251,0.66,0.72,10.0
27,percent_log,0.5,50,4,Evanna Lynch,Evanna Lynch,0.32,1.4926308967515607,0.513888888888889,0.68,0.82,10.0
27,dynamic_weight,0.5,50,4,Evanna Lynch,Milo Manheim,0.32,1.4185935275636732,0.5816326530612245,0.74,0.86,10.0
27,percent_cap,0.5,50,4,Evanna Lynch,Milo Manheim,0.34,1.4165667508891773,0.554421768707483,0.8,0.9,10.0
28,percent,0.5,50,4,Ally Brooke,Ally Brooke,0.26,1.4543347835833853,0.5170068027210885,0.74,0.9,10.0
28,rank,0.5,50,4,Ally Brooke,Ally Brooke,0.68,0.8256170974301047,0.86,0.32,0.3,10.0
28,percent_judge_save,0.5,50,4,Ally Brooke,Lauren Alaina,0.34,1.3642988938854619,0.4266666666666667,0.8,0.88,10.0
28,percent_sqrt,0.5,50,4,Ally Brooke,Hannah Brown,0.3,1.3610744131964374,0.4866666666666667,0.72,0.96,10.0
28,percent_log,0.5,50,4,Ally Brooke,Kel Mitchell,0.34,1.385973922426127,0.54421768707483,0.8,0.9,10.0
28,dynamic_weight,0.5,50,4,Ally Brooke,Kel Mitchell,0.3,1.3703338552969644,0.5466666666666667,0.74,0.86,10.0
28,percent_cap,0.5,50,4,Ally Brooke,Hannah Brown,0.34,1.3409893993398962,0.41333333333333344,0.86,0.86,10.0
29,percent,0.5,50,4,Justina Machado,Nev Schulman,0.3,1.4376345088690496,0.54421768707483,0.78,0.86,10.0
29,rank,0.5,50,4,Justina Machado,Justina Machado,0.4,1.0875656525975472,0.6666666666666667,0.6,0.68,10.0
29,percent_judge_save,0.5,50,4,Justina Machado,Nev Schulman,0.38,1.1562247645531594,0.6533333333333334,0.76,0.96,10.0
29,percent_sqrt,0.5,50,4,Justina Machado,Justina Machado,0.38,1.292240381755184,0.6000000000000001,0.62,0.84,10.0
